driver,avg_points,avg_finish,std_finish,total_races,wins,podiums,dnf,dnf_rate,finish_quality,consistecy,norm_points,norm_finish,norm_consistency,norm_realibility,rating
VER,16.0,3.9444444444444446,4.4519952198883255,18,6,12,0.0,0.0,0.2535211267605634,0.22461839031918013,1.0,1.0,0.2279751486898121,0.5,0.7705950297379625
RUS,12.277777777777779,4.555555555555555,2.812204959107025,18,2,7,0.0,0.0,0.21951219512195122,0.355592858465599,0.7673611111111112,0.8228541540494412,0.6746592932945085,0.5,0.7225898416157064
NOR,15.833333333333334,4.944444444444445,6.338233398540881,18,6,13,0.0,0.0,0.20224719101123595,0.15777266899483525,0.9895833333333334,0.7329241382808735,0.0,0.5,0.6540643679035517
PIA,14.88888888888889,4.777777777777778,5.856675985127677,18,4,12,0.0,0.0,0.20930232558139536,0.17074531740177867,0.9305555555555556,0.7696729487112185,0.044242793568247375,0.5,0.6484890181136762
LEC,10.277777777777779,5.777777777777778,4.399940581892329,18,0,5,0.0,0.0,0.17307692307692307,0.22727579643130533,0.6423611111111112,0.5809819413092551,0.23703814541628054,0.5,0.5245975588550144
HAM,6.277777777777778,7.555555555555555,3.7608231611807015,18,0,0,0.0,0.0,0.1323529411764706,0.26589923459364473,0.3923611111111111,0.36885871730181913,0.3687621194197488,0.5,0.397911547653849
DOO,0.0,16.25,2.217355782608345,4,0,0,0.0,0.0,0.06153846153846154,0.4509876168016973,0.0,0.0,1.0,0.5,0.275
ANT,5.055555555555555,10.444444444444445,6.080075678923571,18,0,2,0.0,0.0,0.09574468085106383,0.16447163700058454,0.3159722222222222,0.17817347869939001,0.02284661152460016,0.5,0.2505015808686564
COL,0.0,16.0,2.660248687044705,14,0,0,0.0,0.0,0.0625,0.3759047057780562,0.0,0.0050084650112866645,0.7439321849543034,0.5,0.22503855324368233
HAD,2.5555555555555554,11.055555555555555,4.425490630456857,18,0,1,0.0,0.0,0.09045226130653267,0.2259636464074418,0.1597222222222222,0.15060630466100253,0.23256310062856447,0.5,0.2230530851798524
TSU,0.7222222222222222,12.722222222222221,3.2504398897878706,18,0,0,0.0,0.0,0.07860262008733625,0.3076506669579611,0.04513888888888889,0.08888385068065098,0.5111540154557506,0.5,0.21750732131686845
BEA,1.3888888888888888,11.722222222222221,3.76993611360373,18,0,0,0.0,0.0,0.08530805687203792,0.26525648442463584,0.08680555555555555,0.1238111540230869,0.3665700409673492,0.5,0.21398901892146377
ALO,2.4444444444444446,11.38888888888889,4.654395631315676,18,0,0,0.0,0.0,0.08780487804878048,0.2148506657388139,0.1527777777777778,0.13681660518636785,0.19466264312546366,0.5,0.20924779103279584
ALB,2.5555555555555554,11.722222222222221,4.8362060428489695,18,0,0,0.0,0.0,0.08530805687203792,0.2067736550386733,0.1597222222222222,0.1238111540230869,0.1671162620130626,0.5,0.20326492979727312
SAI,2.0,12.166666666666666,4.617740725913995,18,0,1,0.0,0.0,0.08219178082191782,0.21655611680148387,0.125,0.10757908407804821,0.20047902825666558,0.5,0.19199057667084518
OCO,1.3333333333333333,12.555555555555555,4.076073979329537,18,0,0,0.0,0.0,0.07964601769911504,0.245334114412832,0.08333333333333333,0.09431870392936333,0.29862544891699266,0.5,0.1916380990990727
HUL,2.5,12.722222222222221,5.464382593137399,18,0,1,0.0,0.0,0.07860262008733625,0.18300329139761892,0.15625,0.08888385068065098,0.08604821340623756,0.5,0.17693060535141025
STR,1.588235294117647,13.588235294117647,4.514681931340952,17,0,0,0.0,0.0,0.0735930735930736,0.22149954641499622,0.09926470588235294,0.06279010680816552,0.2173384334489566,0.5,0.17387109574477388
BOR,0.9444444444444444,13.88888888888889,4.10005579429596,18,0,0,0.0,0.0,0.072,0.24389911995617483,0.059027777777777776,0.054492099322799054,0.2937314472046298,0.5,0.17098042538273683
LAW,1.4444444444444444,13.5,4.514681931340952,18,0,0,0.0,0.0,0.07407407407407407,0.22149954641499622,0.09027777777777778,0.06529554385084856,0.2173384334489566,0.5,0.17090268376361456
GAS,1.0,14.555555555555555,4.43544841187214,18,0,0,0.0,0.0,0.06870229007633588,0.22545634784599244,0.0625,0.037314975961952684,0.2308329754584674,0.5,0.15549533908218166
