,team,avg_points,avg_finish,wins,team_base_rating
0,Alpine,0.5,15.305555555555555,0,-0.8670721942929358
1,Aston Martin,2.0285714285714285,12.457142857142857,0,-0.6155829401284632
2,Ferrari,8.277777777777779,6.666666666666667,0,0.4134207213336278
3,Haas F1 Team,1.3611111111111112,12.13888888888889,0,-0.7245505469587858
4,Kick Sauber,1.7222222222222223,13.305555555555555,0,-0.6661937550977076
5,McLaren,15.36111111111111,4.861111111111111,10,2.231750679580413
6,Mercedes,8.666666666666666,7.5,2,0.6062474637317634
7,Racing Bulls,2.0,12.194444444444445,0,-0.6200865530774803
8,Red Bull Racing,8.36111111111111,8.416666666666666,6,0.8165500912202837
9,Williams,2.2777777777777777,11.944444444444445,0,-0.5744829663107149
